date,total_pilgrims
2017-06-27,99116
2017-06-28,79649
2017-06-29,77891
2017-06-30,73877
2017-07-01,89794
2017-07-02,91192
2017-07-03,79032
2017-07-04,76612
2017-07-05,70151
2017-07-06,77067
2017-07-07,66913
2017-07-08,91826
2017-07-09,86177
2017-07-10,73385
2017-07-11,69433
2017-07-12,73418
2017-07-13,96319
2017-07-14,67131
2017-07-15,84679
2017-07-16,83770
2017-07-17,84829
2017-07-18,78194
2017-07-19,72308
2017-07-20,75016
2017-07-21,71573
2017-07-22,84738
2017-07-23,83377
2017-07-24,76225
2017-07-25,70418
2017-07-26,68135
2017-07-27,68135
2017-07-28,70327
2017-07-29,83452
2017-07-30,90682
2017-07-31,79494
2017-08-01,48809
2017-08-02,67749
2017-08-03,71686
2017-08-04,67412
2017-08-05,70891
2017-08-06,82536
2017-08-07,39144
2017-08-08,79382
2017-08-09,69987
2017-08-10,46345
2017-08-11,75845
2017-08-12,93290
2017-08-13,95789
2017-08-14,95789
2017-08-15,88699
2017-08-16,72700
2017-08-17,72438
2017-08-18,72072
2017-08-19,80248
2017-08-20,87758
2017-08-21,73186
2017-08-22,68435
2017-08-23,67619
2017-08-24,58594
2017-08-25,66389
2017-08-26,76161
2017-08-27,81450
2017-08-28,68970
2017-08-29,66450
2017-08-30,59009
2017-08-31,62042
2017-09-01,44837
2017-09-02,73650
2017-09-03,83850
2017-09-04,74431
2017-09-05,69723
2017-09-06,64960
2017-09-07,62977
2017-09-08,66168
2017-09-09,78281
2017-09-10,84147
2017-09-11,66450
2017-09-12,68664
2017-09-13,59109
2017-09-14,58480
2017-09-15,58794
2017-09-16,74525
2017-09-17,84265
2017-09-18,66542
2017-09-19,59383
2017-09-20,61315
2017-09-21,58163
2017-09-22,63033
2017-09-23,42879
2017-09-24,84151
2017-09-25,85004
2017-09-26,82182
2017-10-03,84373
2017-10-04,74842
2017-10-05,72182
2017-10-06,73854
2017-10-07,87871
2017-10-08,81288
2017-10-09,73438
2017-10-10,74868
2017-10-11,70118
2017-10-12,78108
2017-10-13,75546
2017-10-14,87969
2017-10-15,83706
2017-10-16,73880
